Certificate,N_s,N_u,Result,Benchmark_file,seed,latex,domains,N_Data,Neurons,Activations,Ctrl_Neurons,Ctrl_Activations,Alt_Neurons,Alt_Activations,Factors,LLO,Symmetric_Belt,Time_Domain,Verifier,Loops,Total_Time,Learner_Time,Translator_Time,Verifier_Time,Consolidator_Time
RWA,3,1,True,ThirdOrder,167,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",1765,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,11,38.41424452299998,2.3749758470003144,0.006527495999762323,35.99320309400059,0.01221080800019081
RWA,3,1,False,ThirdOrder,171,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",2241,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,26,34.78888954599984,22.390315860000328,0.015300746999173498,12.32529870699932,0.009599368999715807
RWA,3,1,True,ThirdOrder,175,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",1953,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,20,12.423728913000105,1.264956663000703,0.011600767000345513,11.091484277999598,0.01949120499966739
RWA,3,1,True,ThirdOrder,179,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",1669,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,7,7.592443200000162,2.653868836999891,0.004119661000231645,4.909651669000368,0.003792319000012867
RWA,3,1,True,ThirdOrder,183,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",1594,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,5,1.0692114129999482,0.22960535099969093,0.0028704010001092684,0.8195184289997997,0
RWA,3,1,True,ThirdOrder,187,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",1786,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,11,11.261545165999905,7.73409158999948,0.006642824000209657,3.4843136790000244,0.00892378699973051
RWA,3,1,False,ThirdOrder,191,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",2077,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,26,10.277403550999907,1.922768188000191,0.015152605999674051,8.290383703000089,0.006443296000043119
RWA,3,1,True,ThirdOrder,195,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",2076,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,22,54.6996385729999,6.6009250960005375,0.012826253000184806,48.025242763999586,0.01919195099958415
RWA,3,1,True,ThirdOrder,199,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",1883,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,16,11.608118797000316,6.21366961799913,0.009563198998876032,5.336031951998848,0.01614842199933264
RWA,3,1,True,ThirdOrder,203,"\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n XD: x_{0} \geq -6 \wedge x_{1} \geq -6 \wedge x_{2} \geq -6 \wedge x_{0} \leq 6 \wedge x_{1} \leq 6 \wedge x_{2} \leq 6 \nXS: x_{0} \geq -5 \wedge x_{1} \geq -5 \wedge x_{2} \geq -5 \wedge x_{0} \leq 5 \wedge x_{1} \leq 5 \wedge x_{2} \leq 5 \nXI: x_{0} \geq -1.2 \wedge x_{1} \geq -1.2 \wedge x_{2} \geq -1.2 \wedge x_{0} \leq 1.2 \wedge x_{1} \leq 1.2 \wedge x_{2} \leq 1.2 \nXG: x_{0} \geq -0.3 \wedge x_{1} \geq -0.3 \wedge x_{2} \geq -0.3 \wedge x_{0} \leq 0.3 \wedge x_{1} \leq 0.3 \wedge x_{2} \leq 0.3 \n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]","\left[ u_{0} - 10 x_{0} + 10 x_{1}, \  - x_{0} x_{2} + 28 x_{0} - x_{1}, \  x_{0} x_{1} - 2.66666666666667 x_{2}\right] \n \n $XD: Rectangle([-6, -6, -6], [6, 6, 6]) $\n\n$XI: Rectangle([-1.2, -1.2, -1.2], [1.2, 1.2, 1.2]) $\n\n$XS: Rectangle([-5, -5, -5], [5, 5, 5]) $\n\n$XG: Rectangle([-0.3, -0.3, -0.3], [0.3, 0.3, 0.3]) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]\nCTRLActivation: [$\varphi_{1}$], Neurons: [8, 1]",1899,[5],[$\varphi_{2}$],[8],['LINEAR'],,,NONE,False,False,CONTINUOUS,DREAL,17,9.435141665999708,3.3388092689997393,0.009891875000448636,6.046448788000362,0.007467917000212765
