Certificate,N_s,N_u,Result,Benchmark_file,seed,latex,domains,N_Data,Neurons,Activations,Ctrl_Neurons,Ctrl_Activations,Alt_Neurons,Alt_Activations,Factors,LLO,Symmetric_Belt,Time_Domain,Verifier,Loops,Total_Time,Learner_Time,Translator_Time,Verifier_Time,Consolidator_Time
Stability,2,0,True,NonPoly0,167,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,1.4987932669973816,1.4817743659950793,0.0007049699997878633,0.012859680995461531,0
Stability,2,0,True,NonPoly0,171,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.007522122003138065,0.0014329979967442341,0.0006386909954017028,0.0040032799952314235,0
Stability,2,0,True,NonPoly0,175,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.005963379000604618,0.0016041150011005811,0.0006747490042471327,0.0022309080013656057,0
Stability,2,0,True,NonPoly0,179,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.006334870005957782,0.001932993000082206,0.0007844649953767657,0.0020605149984476157,0
Stability,2,0,True,NonPoly0,183,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.005452718993183225,0.0014461059981840663,0.0005566669933614321,0.0020368360055726953,0
Stability,2,0,True,NonPoly0,187,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.008704560998012312,0.0015014710006653331,0.0005711619960493408,0.005162462002772372,0
Stability,2,0,True,NonPoly0,191,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.005306674996973015,0.001472957999794744,0.0005711070043616928,0.001840183998865541,0
Stability,2,0,True,NonPoly0,195,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.005817823002871592,0.0014619580033468083,0.0006413510054699145,0.0023148120017140172,0
Stability,2,0,True,NonPoly0,199,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.00744208899413934,0.0014780089986743405,0.0005864529957761988,0.00395492300594924,0
Stability,2,0,True,NonPoly0,203,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [6]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [6]",1000,[6],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.006021238004905172,0.0014679730011266656,0.0005838989964104258,0.002415669005131349,0
Stability,3,0,True,Poly1,167,"\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.01 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 100.0 \n\nActivation: [$\varphi_{2}$], Neurons: [8]","$\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 10.0, 0.1) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [8]",500,[8],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.47742625400132965,0.028414279004209675,0.0018901739967986941,0.44130585200036876,0
Stability,3,0,True,Poly1,171,"\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.01 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 100.0 \n\nActivation: [$\varphi_{2}$], Neurons: [8]","$\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 10.0, 0.1) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [8]",968,[8],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,18,2.191706557998259,0.46137183601240395,0.015539536005235277,1.599881309994089,0.09402557701105252
Stability,3,0,True,Poly1,175,"\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.01 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 100.0 \n\nActivation: [$\varphi_{2}$], Neurons: [8]","$\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 10.0, 0.1) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [8]",536,[8],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,2,0.6187292230024468,0.00397954200161621,0.001613799002370797,0.5973075259898906,0.012831272004405037
Stability,3,0,True,Poly1,179,"\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.01 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 100.0 \n\nActivation: [$\varphi_{2}$], Neurons: [8]","$\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 10.0, 0.1) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [8]",722,[8],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,8,2.190330293997249,0.6763617980031995,0.00743106598383747,1.4383769989944994,0.05852939999749651
Stability,3,0,True,Poly1,183,"\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.01 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 100.0 \n\nActivation: [$\varphi_{2}$], Neurons: [8]","$\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 10.0, 0.1) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [8]",844,[8],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,13,12.573643306001031,3.305841536006483,0.011623857011727523,9.164771252995706,0.07602012001734693
Stability,3,0,True,Poly1,187,"\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.01 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 100.0 \n\nActivation: [$\varphi_{2}$], Neurons: [8]","$\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 10.0, 0.1) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [8]",693,[8],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,6,1.0484230860020034,0.03116423099709209,0.005270368012133986,0.9349058770021657,0.06938169999921229
Stability,3,0,True,Poly1,191,"\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.01 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 100.0 \n\nActivation: [$\varphi_{2}$], Neurons: [8]","$\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 10.0, 0.1) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [8]",580,[8],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,3,0.27897396800108254,0.004579358996124938,0.0026165050076087937,0.2375196450011572,0.030070401990087703
Stability,3,0,True,Poly1,195,"\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.01 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 100.0 \n\nActivation: [$\varphi_{2}$], Neurons: [8]","$\left[ - x_{0}^{3} - x_{0} x_{2}^{2}, \  - x_{0}^{2} x_{1} - x_{1}, \  3 x_{0}^{2} x_{2} - 4 x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 10.0, 0.1) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [8]",661,[8],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,6,1.8354911690039444,0.02201343100023223,0.0051607690038508736,1.755838509001478,0.04498653200425906
