Certificate,N_s,N_u,Result,Benchmark_file,seed,latex,domains,N_Data,Neurons,Activations,Ctrl_Neurons,Ctrl_Activations,Alt_Neurons,Alt_Activations,Factors,LLO,Symmetric_Belt,Time_Domain,Verifier,Loops,Total_Time,Learner_Time,Translator_Time,Verifier_Time,Consolidator_Time
Stability,2,0,True,NonPoly0,169,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1000,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,1.465212008999515,1.461114935002115,0.0005960800008324441,0.002609220002341317,0
Stability,2,0,True,NonPoly0,170,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1000,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.006015801998728421,0.0020198590027575847,0.000801066002168227,0.002336664001632016,0
Stability,2,0,True,NonPoly0,171,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1000,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.009116535999055486,0.002409499000350479,0.0011574449999898206,0.004224059997795848,0
Stability,2,0,True,NonPoly0,172,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1000,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.007940847001009388,0.002864816000510473,0.0008301480011141393,0.002933130999736022,0
Stability,2,0,True,NonPoly0,173,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1023,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,2,0.03970816999935778,0.003170349998981692,0.0010619849963404704,0.030974438002886018,0.0024339990013686474
Stability,2,0,True,NonPoly0,174,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1000,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.013610032998258248,0.002219425998191582,0.000882242002262501,0.009315417999459896,0
Stability,2,0,True,NonPoly0,175,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1000,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.027897766998648876,0.022687325999868335,0.0008738210017327219,0.003246988999308087,0
Stability,2,0,True,NonPoly0,176,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1000,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.008511060001183068,0.0022802610001235735,0.0008392999989155214,0.00406831200234592,0
Stability,2,0,True,NonPoly0,177,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1000,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.009001799000543542,0.0023664729997108225,0.0009059109979716595,0.00460356999974465,0
Stability,2,0,True,NonPoly0,178,"\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right] \n XD: x_{0}^{2} + x_{1}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} \leq 1 \n\nActivation: [$\varphi_{2}$], Neurons: [5]","$\left[ x_{0} x_{1} - x_{0}, \  - x_{1}\right]$ \n \n $XD: Torus([0, 0], 1, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [5]",1000,[5],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.007709075001912424,0.002084566000121413,0.000680460001603933,0.0040862380010366905,0
