Certificate,N_s,N_u,Result,Benchmark_file,seed,latex,domains,N_Data,Neurons,Activations,Ctrl_Neurons,Ctrl_Activations,Alt_Neurons,Alt_Activations,Factors,LLO,Symmetric_Belt,Time_Domain,Verifier,Loops,Total_Time,Learner_Time,Translator_Time,Verifier_Time,Consolidator_Time
Stability,3,0,True,NonPoly2,167,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.6577253880000171,0.023533914999916306,0.0014028240002517123,0.6013458109996463,0
Stability,3,0,True,NonPoly2,171,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.5972355760000028,0.004056381000282272,0.002850046000276052,0.5859297810002317,0
Stability,3,0,True,NonPoly2,175,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.26526478799996767,0.0016208170000027167,0.0013332009998521244,0.2604791430003388,0
Stability,3,0,True,NonPoly2,179,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.2650495220000266,0.0014546819998031424,0.0012260820003575645,0.26073345900022105,0
Stability,3,0,True,NonPoly2,183,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.43433488199980275,0.001324559999829944,0.0012370399999781512,0.4300962359998266,0
Stability,3,0,True,NonPoly2,187,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.4056369459999587,0.0014106619996709924,0.0012397299997246591,0.40119670800004315,0
Stability,3,0,True,NonPoly2,191,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.24049209099985092,0.0013021600002502964,0.0012073389998477069,0.23600658400027896,0
Stability,3,0,True,NonPoly2,195,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.17956296800002747,0.0012742270000671851,0.0011868000001413748,0.17539818199975343,0
Stability,3,0,True,NonPoly2,199,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,0.22262914099974296,0.001324994000242441,0.0012508499999057676,0.21821064999994633,0
Stability,3,0,True,NonPoly2,203,"\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right] \n XD: x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \geq 0.0001 \wedge x_{0}^{2} + x_{1}^{2} + x_{2}^{2} \leq 9 \n\nActivation: [$\varphi_{2}$], Neurons: [10]","$\left[ - x_{0}, \  0.1 x_{0} x_{1}^{2} - 2 x_{1} + x_{2}, \  - 1.5 x_{1} - x_{2}\right]$ \n \n $XD: Torus([0.0, 0.0, 0.0], 3, 0.01) $\n\n\nActivation: [$\varphi_{2}$], Neurons: [10]",1000,[10],[$\varphi_{2}$],,,,,NONE,True,False,CONTINUOUS,DREAL,1,1.2335622389996388,0.0013847759996679088,0.0012575910000123258,1.2291835629998786,0
